"","Title","Year","Rated","Released","Runtime","Genre","Director","Writer","Actors","Plot","Language","Country","Awards","Poster","Ratings.Source","Ratings.Value","Metascore","imdbRating","imdbVotes","imdbID","Type","tomatoMeter","tomatoImage","tomatoRating","tomatoReviews","tomatoFresh","tomatoRotten","tomatoConsensus","tomatoUserMeter","tomatoUserRating","tomatoUserReviews","tomatoURL","DVD","BoxOffice","Production","Website","Response"
"1","Anand","1971","NOT RATED","12 Mar 1971","122 min","Drama","Hrishikesh Mukherjee","Hrishikesh Mukherjee (story), Hrishikesh Mukherjee (screenplay), Gulzar (screenplay), D.N. Mukherjee (screenplay), Bimal Dutta (screenplay), Gulzar (dialogue)","Rajesh Khanna, Amitabh Bachchan, Sumita Sanyal, Ramesh Deo","The story of a terminally ill man who wishes to live life to the full before the inevitable occurs, as told by his best friend.","Hindi","India","6 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjE0Mzk3OTk2NF5BMl5BanBnXkFtZTgwMTQ1NDk5NTE@._V1_SX300.jpg","Internet Movie Database","8.9/10","N/A","8.9","16,396","tt0066763","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/anand/","27 Jul 1999","N/A","N/A","N/A","True"
"2","Drishyam","2013","NOT RATED","19 Dec 2013","160 min","Crime, Drama, Thriller","Jeethu Joseph","Jeethu Joseph","Mohanlal, Meena, Ansiba, Esther","A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.","Malayalam","India","3 wins & 1 nomination.","https://images-na.ssl-images-amazon.com/images/M/MV5BYmY3MzYwMGUtOWMxYS00OGVhLWFjNmUtYzlkNGVmY2ZkMjA3XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_SX300.jpg","Internet Movie Database","8.9/10","N/A","8.9","15,405","tt3417422","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/drishyam/","N/A","N/A","Fancy Digital","http://www.drishyamthemovie.com/","True"
"3","Nayakan","1987","NOT RATED","31 Jul 1987","145 min","Crime, Drama","Mani Ratnam","Balakumaran (dialogue), Rajasri (Telugu dialogue), Mani Ratnam","Kamal Haasan, Saranya Ponvannan, Delhi Ganesh, Janagaraj","A common man's struggles against a corrupt police force put him on the wrong side of the law. He becomes a don, who is loved and respected by many, but his growing power and influence exact a heavy toll.","Tamil, Hindi, English","India","4 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BNTI2Zjc5ODMtNGE0NC00YjU5LTk0NjktZjU4ZDRlZDFkZWU0XkEyXkFqcGdeQXVyNjc5Mjg4Nzc@._V1_SX300.jpg","Internet Movie Database","8.8/10","N/A","8.8","8,728","tt0093603","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/nayakan-hero/","N/A","N/A","N/A","N/A","True"
"4","Anbe Sivam","2003","NOT RATED","14 Jan 2003","160 min","Adventure, Comedy, Drama","Sundar C.","Kamal Haasan (screenplay), Madan (dialogue)","Kamal Haasan, Madhavan, Kiran Rathod, Nassar","Two men, one young and arrogant, the other damaged - physically but not spiritually - by life, are thrown together by circumstances, and find that they are in some ways bound together by fate.","Tamil, Hindi","India","2 wins & 3 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BNWQxY2MyNmUtOTkxZC00MmQ3LWFkMjMtNWU3YmFlZDM5YTBhXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg","Internet Movie Database","8.9/10","N/A","8.9","8,928","tt0367495","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/anbe-anbe/","23 May 2006","N/A","N/A","N/A","True"
"5","Dangal","2016","UNRATED","21 Dec 2016","161 min","Action, Biography, Drama","Nitesh Tiwari","Piyush Gupta, Shreyas Jain, Nikhil Mehrotra, Nitesh Tiwari","Aamir Khan, Sakshi Tanwar, Fatima Sana Shaikh, Sanya Malhotra","Former wrestler Mahavir Singh Phogat and his two wrestler daughters struggle towards glory at the Commonwealth Games in the face of societal oppression.","Hindi","India","3 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BMTQ4MzQzMzM2Nl5BMl5BanBnXkFtZTgwMTQ1NzU3MDI@._V1_SX300.jpg","Internet Movie Database","8.7/10","N/A","8.7","55,286","tt5074352","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/dangal/","N/A","$12,382,287","Aamir Khan Productions","N/A","True"
"6","Gol Maal","1979","NOT RATED","20 Apr 1979","144 min","Comedy, Romance","Hrishikesh Mukherjee","Sailesh Dey (story), Sachin Bhowmick (screenplay), Rahi Masoom Reza (dialogue)","Amol Palekar, Bindiya Goswami, Deven Verma, Shubha Khote","Ramprasad is a recent college graduate who finds a job with a finicky man, Bhavani Shankar, who believes that a man without a mustache is a man without a character. Bhavani Shankar is also ...","Hindi","India","3 wins.","https://images-na.ssl-images-amazon.com/images/M/MV5BMjA4OTczODgxNF5BMl5BanBnXkFtZTgwMDAzMTU2NDE@._V1_SX300.jpg","Internet Movie Database","8.7/10","N/A","8.7","12,021","tt0079221","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/gol-maal-hanky-panky/","28 Sep 1999","N/A","Rupam Chitra","N/A","True"
"7","Black Friday","2004","NOT RATED","09 Feb 2007","143 min","Action, Crime, Drama","Anurag Kashyap","Anurag Kashyap (screenplay), Hussain Zaidi (book), Piyush Mishra (lyrics)","Kay Kay Menon, Pavan Malhotra, Aditya Srivastava, Dibyendu Bhattacharya","Black Friday is a film about the investigations following the 1993 serial Bombay bomb blasts, told through the different stories of the people involved --police, conspirators, victims, middlemen.","Hindi","India","2 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BMmU1NDhjYTQtYjQxYy00MjlmLWIxMjItMjllMmE2NDRlY2ZhXkEyXkFqcGdeQXVyNDUzOTQ5MjY@._V1_SX300.jpg","Internet Movie Database","8.6/10","76","8.6","12,509","tt0400234","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/black-friday/","08 Aug 1995","N/A","Passport","N/A","True"
"8","Like Stars on Earth","2007","PG","21 Dec 2007","165 min","Drama, Family, Music","Aamir Khan, Amole Gupte","Amole Gupte (dialogue & screenplay), Amole Gupte (story)","Darsheel Safary, Aamir Khan, Tanay Chheda, Sachet Engineer","An eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.","Hindi, English","India","14 wins & 15 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BNTVmYTk2NjAtYzY3MS00YjFjLTlkYzktYzg3YzMyZDQyOWRiXkEyXkFqcGdeQXVyNjQ2MjQ5NzM@._V1_SX300.jpg","Internet Movie Database","8.5/10","N/A","8.5","105,140","tt0986264","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/like_stars_on_earth/","12 Jan 2010","$1,204,660","UTV Communications","http://www.taarezameenpar.com/","True"
"9","Jaane Bhi Do Yaaro","1983","NOT RATED","12 Aug 1983","132 min","Comedy, Drama","Kundan Shah","Ranjit Kapoor (dialogue), Satish Kaushik (dialogue), Sudhir Mishra (screenplay), Sudhir Mishra (story), Kundan Shah (screenplay), Kundan Shah (story)","Naseeruddin Shah, Ravi Baswani, Bhakti Barve, Satish Shah","Two friends, attempting to start-up their own photo studio, come across shady dealings, corruption and murder, and must fight to bring the guilty to light.","Hindi","India","1 win.","https://images-na.ssl-images-amazon.com/images/M/MV5BNzQ0MzA3NDY3Nl5BMl5BanBnXkFtZTcwOTAwMzIzMg@@._V1_SX300.jpg","Internet Movie Database","8.5/10","N/A","8.5","8,941","tt0085743","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/jaane-bhi-do-yaarowho-pays-the-piper/","N/A","N/A","N/A","N/A","True"
"10","3 Idiots","2009","PG-13","25 Dec 2009","170 min","Adventure, Comedy, Drama","Rajkumar Hirani","Rajkumar Hirani (screenplay), Abhijat Joshi (screenplay), Vidhu Vinod Chopra (screenplay), Abhijat Joshi (story), Chetan Bhagat (novel)","Aamir Khan, Madhavan, Sharman Joshi, Kareena Kapoor Khan","Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of the world called them ""idiots"".","Hindi, English","India","25 wins & 13 nominations.","https://images-na.ssl-images-amazon.com/images/M/MV5BZWRlNDdkNzItMzhlZC00YTdmLWIwNjktYjY5NjQ1ZmQ3N2FkXkEyXkFqcGdeQXVyNjU0OTQ0OTY@._V1_SX300.jpg","Internet Movie Database","8.4/10","67","8.4","242,305","tt1187043","movie","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","http://www.rottentomatoes.com/m/3_idiots/","26 Apr 2011","$6,500,000","Big Pictures","http://www.idiotsacademy.zapak.com/idiotsmain.php","True"
